dv,s,a
-3.98297,207.197,-0.388513
-10.4825,207.157,1.47482
12.1957,207.123,-0.854286
-3.34915,207.062,0.535999
-4.02675,206.799,-0.357293
-3.34736,206.751,3.911
-3.93283,206.392,4.13572
-4.15777,206.391,0.0926451
-10.7415,206.095,1.32172
-4.02713,205.967,0.318007
12.2907,205.906,1.83482
-3.68522,205.586,-0.119945
-3.65823,205.23,0.0849291
-10.9763,205.008,1.17703
-3.73165,204.854,0.308702
12.6078,204.665,2.76453
-3.67166,204.484,-0.550156
-3.65541,204.12,-0.962015
-11.1883,203.899,1.04096
-3.77054,203.753,0.370148
12.7034,203.384,0.143032
-4.09144,203.366,1.44973
-4.39615,202.934,0.736941
-11.3787,202.771,0.91362
-4.5486,202.487,-0.610069
-11.8227,202.237,-2.22756
12.5747,202.124,-1.70236
-4.26492,202.025,-1.4426
-3.62751,201.634,-0.726505
-11.549,201.624,-1.51289
-3.4061,201.412,0.62327
-11.7396,201.07,-1.91541
-3.61929,201.065,0.199218
12.4681,200.869,-1.87708
-3.74205,200.688,-0.683746
-11.0305,200.461,-5.00932
-3.85042,200.316,-0.0183186
-4.0808,199.918,0.0221999
-11.8972,199.889,-1.73279
12.2048,199.631,-2.05894
-4.17208,199.5,-0.620242
-10.1789,199.418,-3.6262
0.0277292,199.336,1.57613
0.312865,199.32,1.79718
0.639241,199.273,2.03347
-4.24923,199.083,-0.796906
-11.9794,198.69,-2.398
-4.28105,198.65,-1.15162
-10.055,198.537,0.172163
11.8226,198.428,-2.24709
-4.0541,198.227,-1.28479
-3.72896,197.839,-1.17774
-3.63687,197.594,-0.6546
-10.3041,197.519,1.40305
-11.7091,197.493,-3.46444
11.4527,197.266,-2.4405
-3.74967,197.224,-0.358984
3.51638,197.036,-2.24886
-3.81697,196.844,-0.729888
3.29215,196.701,-2.87527
-10.5351,196.477,1.29798
-3.83482,196.461,-0.46136
3.25463,196.377,-1.49214
-11.2143,196.348,-3.60819
11.1872,196.138,-2.15163
-3.93571,196.077,0.242156
-4.07491,195.674,0.475149
-10.7485,195.412,1.19506
-4.20388,195.262,0.0423343
-10.7595,195.25,-3.27842
-3.16891,195.152,-0.0969335
11.0347,195.029,-0.202047
-4.23889,194.833,-0.589094
-3.11696,194.819,0.521755
-3.12919,194.529,1.35562
-3.93116,194.414,-1.17614
-10.9447,194.327,0.255699
-10.3315,194.196,-1.91372
-3.38507,194.193,0.641255
-3.40204,194.047,-1.71935
11.1008,193.931,2.75522
-3.3397,193.852,0.553187
-3.15987,193.846,-0.960747
-3.264,193.527,0.00834804
-3.41124,193.525,1.14897
-10.9563,193.223,-1.0725
-3.37037,193.193,-0.1567
-10.3069,193.184,-0.0738951
-3.63093,193.169,0.440815
-3.42616,192.853,-0.345366
11.4837,192.809,3.55471
-3.72667,192.799,-0.479565
-3.76345,192.536,-0.687603
-3.47974,192.508,-0.295045
-3.79966,192.159,-0.650886
-3.53091,192.157,-0.248787
-10.8733,192.136,-0.625616
-10.4504,192.135,-0.464066
-3.57953,191.802,0.213146
-3.84818,191.777,-0.193428
11.7808,191.634,1.20455
-3.7094,191.441,0.447759
-3.80274,191.389,0.460718
-10.218,191.206,-1.96469
-3.37222,191.06,-0.403018
-10.9614,191.048,-0.558174
-3.76921,191.016,0.648945
-2.70375,190.767,-0.809259
-3.70997,190.635,0.595423
-2.54344,190.519,0.106722
11.6305,190.452,-1.01206
-3.6381,190.274,0.123982
-2.75459,190.258,0.572103
-9.84077,190.204,-2.31129
-2.91619,189.968,-0.71015
-10.6285,189.943,-2.01117
-3.68323,189.908,-0.541614
-3.67335,189.537,-0.739011
11.4232,189.308,-0.651944
-9.67535,189.238,-2.06387
-3.45424,189.173,-0.272954
-3.32261,188.959,0.389369
-10.0452,188.923,-1.29125
-3.46247,188.621,1.00498
-9.56317,188.269,-1.83071
-3.74323,188.266,1.99409
11.4594,188.168,0.148167
-6.00248,188.148,2.85542
-10.006,187.934,0.74436
-3.94613,187.872,1.8753
-5.87694,187.543,-0.27742
-3.93014,187.477,0.238613
-9.48274,187.326,-1.61207
-3.74629,187.086,-0.899724
11.4855,187.016,0.101327
-5.66676,186.972,-1.30493
-10.243,186.921,1.37837
-3.43475,186.728,-1.08208
-5.71429,186.41,-1.23517
-3.28478,186.399,-0.59984
-9.42982,186.372,-1.408
-3.2324,186.071,0.0795199
-10.4643,185.886,0.443806
11.4996,185.871,-0.440216
-5.84121,185.829,-1.16336
-3.00985,185.753,-0.126473
-2.80484,185.469,0.0687805
-9.18596,185.44,-1.21844
-5.96518,185.242,-1.09043
-2.83409,185.192,0.704002
-2.86897,184.902,-0.385197
-10.5021,184.829,-0.882004
11.4027,184.716,-1.92468
-6.18152,184.636,-1.01723
-2.77573,184.618,-1.4648
-8.91681,184.535,-1.67262
-2.72973,184.347,-0.751902
-2.90133,184.072,1.01497
-6.4223,184.006,-0.944466
-10.4461,183.785,-0.434822
-3.15422,183.767,2.46356
-8.64306,183.656,-2.43495
11.1028,183.59,-2.66207
-3.22052,183.441,1.8976
-6.6436,183.352,1.64495
-3.18893,183.123,0.0368784
-8.36285,182.806,-1.88242
-3.07807,182.803,-0.663425
-10.5614,182.739,0.889954
-7.34852,182.677,5.40939
-3.01406,182.507,-0.212452
10.8387,182.496,-1.38216
-3.16677,182.2,0.436262
-8.1391,181.984,-0.686591
-8.18186,181.882,3.85795
-3.4849,181.874,1.4593
-10.7585,181.673,0.441804
-3.74228,181.503,1.3748
10.7724,181.422,0.165659
-7.97546,181.179,-0.205793
-3.59905,181.125,-0.22757
-8.39897,181.04,-0.321625
-3.19817,180.784,-1.33188
-10.7728,180.588,-0.883874
-2.77975,180.486,-1.06119
-7.83489,180.389,-0.103498
10.7924,180.341,-0.0151369
-2.47593,180.228,0.489014
-8.4074,180.202,-1.69421
-2.78571,179.99,1.9654
-3.3709,179.671,1.42809
-7.71619,179.612,-0.0140787
-10.5259,179.518,-0.436561
-3.53857,179.429,0.0161401
-8.36671,179.359,-1.60385
10.6615,179.264,-0.749171
-3.48909,179.075,-0.458757
-4.94199,179.019,-0.764474
-7.61773,178.845,0.0633753
-3.27423,178.731,-0.864258
-8.27446,178.529,-1.51079
-4.97347,178.517,-2.02761
-10.3728,178.483,0.0491096
0.641256,178.429,-0.613466
-2.8992,178.42,-0.624397
0.467116,178.374,-1.20599
0.452923,178.336,-1.87926
0.334602,178.283,-3.25742
-0.0117593,178.275,-2.04494
0.0702271,178.269,-3.30451
-0.0307928,178.269,-2.03003
10.503,178.209,-0.862083
-2.67364,178.151,0.475463
-7.5376,178.088,0.129762
-4.85577,178.025,-1.51558
-2.55635,177.886,0.0469313
-8.09919,177.704,-1.41626
-4.88666,177.546,-0.124671
-10.321,177.444,-1.63035
-7.47388,177.338,0.185961
10.3143,177.163,-0.497097
-4.99611,177.047,0.752658
-7.71712,176.909,-1.32135
-7.42466,176.593,0.652445
-5.18334,176.547,1.34057
-10.1053,176.418,-2.41606
-7.26774,176.161,-1.22698
10.2386,176.146,0.79327
-5.36605,176.011,1.04376
-7.38629,175.853,0.467288
-5.31233,175.473,0.310371
-6.85093,175.456,1.80336
-9.81502,175.423,-0.553522
-7.19078,175.116,-1.00343
10.4074,175.116,1.68309
-5.13592,174.948,-0.792831
-7.05305,174.791,6.20438
-9.54716,174.455,0.410813
-4.7516,174.446,-2.04271
-6.92931,174.415,-1.98667
10.5659,174.065,1.23719
-7.56002,174.045,4.4033
-4.3667,173.998,-2.3583
